Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
SOUTH LAFOURCHE QUARTERBACK CLUB,00-0004101,"Football Clubs, Leagues (Recreation, Sports, Leisure, Athletics)",Yes,N/A,N/A,N/A,N/A
IGLESIA BETHESDA INC,00-0587764,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,00-0635913,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
MERCY CHAPEL INTERNATIONAL,00-0765634,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
AGAPE HOUSE OF PRAYER,00-0841363,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
BETHANY PRESBYTERIAN CHURCH,00-0852649,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
RESTORATION OF HOPE CHURCH MINISTRIES,00-1347537,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,00-2030711,N/A,Yes,N/A,N/A,N/A,N/A
RELIGIOUS SCIENCE CHURCH CENTER OF SAN DIEGO,00-2296179,N/A,Yes,N/A,N/A,N/A,N/A
TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,00-7764840,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
HULLS COVE NEIGHBORHOOD ASSOCIATION,01-0002847,"Historical Societies, Related Historical Activities (Arts, Culture and Humanities)",Yes,N/A,N/A,N/A,N/A
MASSACHUSETTS MODERATORS ASSOCIATION,01-0011694,"Nonmonetary Support N.E.C. (Community Improvement, Capacity Building)",Yes,2001,N/A,N/A,N/A
HANOVER SOCCER CLUB INC,01-0015091,"Soccer Clubs, Leagues (Recreation, Sports, Leisure, Athletics)",Yes,2019,113339,120189,N/A
AGAMENTICUS YACHT CLUB OF YORK,01-0017496,N/A,Yes,2020,112745,123169,N/A
ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,01-0019705,N/A,No,2020,462216,368015,94201
ANCIENT FREE & ACCEPTED MASONS OF MAINE,01-0019709,"Domestic Fraternal Societies (Mutual/Membership Benefit Organizations, Other)",No,N/A,N/A,N/A,N/A
BANGOR BAND,01-0024155,N/A,Yes,N/A,N/A,N/A,N/A
BANGOR SYMPHONY ORCHESTRA,01-0024645,"Symphony Orchestras (Arts, Culture and Humanities)",Yes,2020,1084597,666508,418089
BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,01-0024907,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2021,96724,35691,N/A
BERWICK CEMETERY ASSOCIATION INC,01-0028850,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,2021,94618,167610,N/A
COMMUNITY CHRISTMAS PROJECT INC,01-0043788,"Food Banks, Food Pantries (Food, Agriculture and Nutrition)",Yes,N/A,N/A,N/A,N/A
DEMERRITT CEMETERY ASSOC,01-0056642,N/A,No,N/A,N/A,N/A,N/A
HEALING AND DELIVERANCE MINISTRY INC,01-0060379,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
HANCOCK COUNTY AGRICULTURAL SOCIETY,01-0085716,"Fairs, County and Other (Recreation, Sports, Leisure, Athletics)",Yes,N/A,N/A,N/A,N/A
HOPE CEMETERY CORPORATION,01-0092600,N/A,No,2020,954944,171036,783908
IMPROVED ORDER OF REDMEN OF MAINE,01-0095329,N/A,No,2019,23504,36616,N/A
KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE,01-0102346,N/A,No,N/A,N/A,N/A,N/A
LAUREL HILL CEMETERY ASSOCIATION,01-0104905,N/A,No,2020,413882,749454,N/A
SAINT ANDREW CHURCH,01-0104976,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
MECHANIC FALLS MAPLE GROVE CEMETERY INC,01-0114721,N/A,No,2004,N/A,N/A,N/A
MT HOPE CEMETERY CORP,01-0124810,N/A,No,2020,1130778,910430,220348
MT PLEASANT CEMETERY CORP,01-0124841,N/A,No,2020,66662,43406,23256
NORTH AUBURN CEMETERY ASSOCIATION INC,01-0130065,N/A,No,N/A,N/A,N/A,N/A
BRIDGTON HOSPITAL,01-0130427,"Hospital, General (Health — General and Rehabilitative)",Yes,2020,49375323,45992045,3383278
NORWAY PINE GROVE CEMETERY CORP,01-0130865,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,2021,58877,43003,15874
OAK GROVE CEMETERY ASSO,01-0131335,N/A,No,2020,52706,94823,N/A
PLANT MEMORIAL HOME,01-0131950,N/A,Yes,2020,527920,824405,N/A
ORCHARD GROVE CEMETERY ASSOCIATION,01-0132610,"Cemeteries, Burial Services (Y52Z) (Mutual/Membership Benefit Organizations, Other)",No,2019,64981,19015,45966
ORDER OF THE EASTERN STAR OF MAINE,01-0132625,N/A,No,2020,64195,257420,N/A
OXFORD COUNTY AGRICULTURAL SOCIETY,01-0133442,Unknown / Unclassified,Yes,2020,73091,122833,N/A
PINE GROVE CEMETERY ASSOCIATION,01-0140283,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,2020,42324,38343,3981
PINE GROVE CEMETERY CORP,01-0140290,N/A,No,2020,313591,123445,190146
PROUTS NECK ASSOCIATION,01-0145133,N/A,Yes,2020,123633,164836,N/A
RANGELEY LIBRARY ASSOCIATION,01-0147000,Libraries (B71Z) (Educational Institutions and Related Activities),Yes,2021,166295,181182,N/A
RIVERSIDE CEMETERY ASSOCIATION OF BRUNSWICK MAINE,01-0149981,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,N/A,N/A,N/A,N/A
GREATER RUMFORD COMMUNITY CENTER,01-0153128,N/A,Yes,2020,52497,106050,N/A
ORDER OF THE EASTERN STAR OF NEW HAMPSHIRE GRAND CHAPTER,01-0174648,N/A,No,2020,106078,43210,62868
WEST OXFORD AGRICULTURAL SOCIETY,01-0180531,"Fairs, County and Other (Recreation, Sports, Leisure, Athletics)",Yes,2020,209269,1096441,N/A
WINDSOR IMPROVEMENT CORPORATION,01-0180687,"Economic Development (Community Improvement, Capacity Building)",Yes,2020,920705,234644,686061
YOUNG MENS CHRISTIAN ASSOCIATION STATE OF MAINE,01-0186800,"Young Men's or Women's Associations (YMCA, YWCA, YWHA, YMHA) (Human Services — Multipurpose and Other)",Yes,2020,392744,432513,N/A
ROCKLAND CEMETERY ASSOCIATION,01-0187940,"Cemeteries, Burial Services (Y52Z) (Mutual/Membership Benefit Organizations, Other)",No,2020,328759,358347,N/A
NORTHERN MAINE FAIR ASSOCIATION,01-0191550,"Fairs, County and Other (Recreation, Sports, Leisure, Athletics)",Yes,2020,90283,63188,27095
DEPARTMENT OF MAINE VETERANS OF FOREIGN WARS OF THE UNITED STATES,01-0191822,N/A,No,2020,311040,278288,32752
CUMBERLAND CEMETERY ASSOCIATION,01-0191953,N/A,No,2020,50658,47887,2771
IRIS NETWORK,01-0196359,N/A,Yes,2020,2225295,2232190,N/A
MAINE COAST REGIONAL HEALTH FACILITIES,01-0198331,"Hospital, General (Health — General and Rehabilitative)",Yes,2020,81449460,86652122,N/A
THE PORTLAND PLAYERS INC,01-0199433,"Theater (Arts, Culture and Humanities)",Yes,2021,32039,33629,N/A
WOMENS BOARD OF THE MAINE MEDICAL CENTER,01-0199596,N/A,Yes,2020,874425,1022673,N/A
MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,01-0202467,"Biological, Life Science Research (Science and Technology Research Institutes, Services)",Yes,2020,11246623,11298804,N/A
MARTIN-KLEIN AMERICAN LEGION POST 133,01-0205005,"Public, Society Benefit - Multipurpose and Other N.E.C.",No,2012,14122,8585,5537
RIVERSIDE CEMETERY CORPORATION,01-0205019,N/A,No,2019,8487,54161,N/A
BROOKSIDE CEMETERY ASSOCIATION INC,01-0205722,"Cemeteries, Burial Services (Y52Z) (Mutual/Membership Benefit Organizations, Other)",No,2021,91688,24183,67505
FAIRMOUNT CEMETERY ASSOC,01-0207022,N/A,No,2020,67734,66405,1329
GREEN LAWN REST ASSOCIATION,01-0207025,N/A,No,N/A,N/A,N/A,N/A
VICTORIA MANSION,01-0207716,"Historical Societies, Related Historical Activities (A82Z) (Arts, Culture and Humanities)",Yes,2020,786021,587808,198213
THE CHAPMAN HOUSE,01-0211476,Senior Continuing Care Communities (Human Services — Multipurpose and Other),Yes,2020,3039519,1828740,1210779
UNITED WAY OF EASTERN MAINE,01-0211478,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020,2744404,2638878,105526
BANGOR CHILDRENS HOME,01-0211481,"Kindergarten, Preschool, Nursery School, Early Admissions (Educational Institutions and Related Activities)",Yes,2020,679895,991003,N/A
COMMUNITY HEALTH AND COUNSELING SERVICES,01-0211483,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020,30912323,32371232,N/A
BANGOR THEOLOGICAL SEMINARY,01-0211484,"Christian (Religion-Related, Spiritual Development)",Yes,2021,785032,797585,N/A
BANGOR YOUNG MENS CHRISTIAN ASSOCIATION,01-0211485,"Young Men's or Women's Associations (YMCA, YWCA, YWHA, YMHA) (Human Services — Multipurpose and Other)",Yes,2020,4935728,4643538,292190
MT DESERT ISLAND YMCA,01-0211486,"Young Men's or Women's Associations (YMCA, YWCA, YWHA, YMHA) (Human Services — Multipurpose and Other)",Yes,2020,1553521,1428887,124634
BIBLE SOCIETY OF MAINE,01-0211487,N/A,Yes,2012,39843,65986,N/A
TRUSTEES OF BLOOMFIELD ACADEMY,01-0211488,"Historical Societies, Related Historical Activities (A82Z) (Arts, Culture and Humanities)",Yes,2021,390765,253499,137266
CENTRAL MAINE MEDICAL CENTER,01-0211494,"Hospital, General (Health — General and Rehabilitative)",Yes,2020,396713032,415280794,N/A
PRESIDENT & TRUSTEES OF COLBY COLLEGE,01-0211497,Undergraduate College (4-year) (Educational Institutions and Related Activities),Yes,2020,292366000,212296000,80070000
DYER LIBRARY ASSOCIATION,01-0211500,Libraries (B71Z) (Educational Institutions and Related Activities),Yes,2021,1081965,872190,209775
EASTPORT PUBLIC LIBRARY ASSOCIATION,01-0211502,Libraries (Educational Institutions and Related Activities),Yes,2021,245291,101297,143994
EUNICE FRYE HOME,01-0211504,N/A,Yes,2020,65196,134139,N/A
THE TRUSTEES OF FRYEBURG ACADEMY,01-0211505,"Secondary, High School (Educational Institutions and Related Activities)",Yes,2020,15313840,14775359,538481
GOOD SAMARITAN AGENCY,01-0211507,N/A,Yes,2020,666760,671931,N/A
GOOD WILL HOME ASSOCIATION,01-0211508,Group Home (Long Term) (Human Services — Multipurpose and Other),Yes,2020,6858493,6622463,236030
GOULD ACADEMY,01-0211509,"Secondary, High School (Educational Institutions and Related Activities)",Yes,2020,15222872,15086723,136149
HOME FOR THE AGED,01-0211512,Senior Continuing Care Communities (Human Services — Multipurpose and Other),Yes,2020,7023381,8330875,N/A
JACKSON LABORATORY,01-0211513,"Biomedicine, Bioengineering Research (Medical Research)",Yes,2020,527504036,463558933,63945103
JEWISH COMMUNITY COUNCIL OF BANGOR,01-0211515,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2013,37561,361938,N/A
CEDARS NURSING CARE CENTER INC,01-0211517,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020,12962404,13891155,N/A
MAINE COUNCIL OF CHURCHES,01-0211526,N/A,Yes,N/A,N/A,N/A,N/A
MAINE HISTORICAL SOCIETY,01-0211530,"Historical Societies, Related Historical Activities (A82Z) (Arts, Culture and Humanities)",Yes,2020,1413285,2164938,N/A
KENTS HILL SCHOOL,01-0211532,N/A,Yes,2020,12333982,15590373,N/A
MCARTHUR LIBRARY ASSOCIATION,01-0211533,Libraries (B71Z) (Educational Institutions and Related Activities),Yes,2021,1542139,1207216,334923
MERCY HOSPITAL,01-0211534,"Hospital, General (Health — General and Rehabilitative)",Yes,2020,219669587,222518532,N/A
NORTH YARMOUTH ACADEMY,01-0211536,"Secondary, High School (Educational Institutions and Related Activities)",Yes,2021,12940355,11828104,1112251
OAK GROVE SCHOOL,01-0211537,N/A,Yes,2020,182748,121721,N/A
CAMP O-AT-KA INC,01-0211538,"Recreational and Sporting Camps (Recreation, Sports, Leisure, Athletics)",Yes,2020,2070572,694553,1376019
PATTEN FREE LIBRARY,01-0211539,Libraries (B71Z) (Educational Institutions and Related Activities),Yes,2021,1262039,930479,331560
CATHERINE MORRILL DAY NURSERY,01-0211542,Child Day Care (Human Services — Multipurpose and Other),Yes,2020,1263525,1156936,106589
BOYS & GIRLS CLUBS OF SOUTHERN MAINE,01-0211543,Boys Clubs (Youth Development),Yes,2020,3217959,2826986,390973
PORTLAND SEAMENS FRIEND SOCIETY,01-0211545,N/A,Yes,2020,69989,77535,N/A
COMMUNITY HEALTH & NURSING SERVICES,01-0211546,Nursing Services (General) (Health — General and Rehabilitative),Yes,2020,13216664,10914972,2301692
REDINGTON MEMORIAL HOME,01-0211547,N/A,Yes,2020,974153,1023646,N/A
